trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Colourcodes,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,StimulusPos,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Circle1_col,Ecc,Circle2_col,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran
0,44,44,70,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,45,45,62,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,46,46,10,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,47,47,22,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,48,48,30,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,49,60,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,50,50,31,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,51,51,61,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,52,52,34,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,53,53,47,1,,5f04a16afdd4f90d36b2bee5,62c538d1e433860fd3c36666,2022-07-06_09h25.39.075,Colour_Asymmetry_Pilot,2022.1.3,Win32,58.79931793,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
