session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
62bbfb451170dba059d35554,61543622365e4640c0850fd2,RETURNED,2022-06-29 07:22:05.877000,,55577.847402,26,83,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62bbfb46f096412934dc47db,6131d01bc956974e057e9f72,AWAITING REVIEW,2022-06-29 07:12:06.989000,2022-06-29 08:02:12.463000,3005.474,31,101,2,99,,8F964E17,South Africa,South Africa,Full-Time,DATA EXPIRED,English,South Africa,Female,DATA EXPIRED
62bbfb473ddf70fb99d68a2f,5d8887bcd216cb0019e0ee83,AWAITING REVIEW,2022-06-29 07:12:07.749000,2022-06-29 07:42:18.555000,1810.806,39,154,1,100,,8F964E17,Poland,Poland,Full-Time,Polish,"Polish, English",Poland,Female,No
62bbfb486ef624f4e415c7b9,616906751ffc9107b0236aa0,AWAITING REVIEW,2022-06-29 07:12:23.250000,2022-06-29 07:38:36.289000,1573.039,27,91,3,98,,8F964E17,South Africa,South Africa,Full-Time,DATA EXPIRED,"Afrikaans, English",South Africa,Female,No
62bbfb48736a545fefd68a2d,611d092048ce92967730c546,AWAITING REVIEW,2022-06-29 07:12:12.158000,2022-06-29 07:44:48.678000,1956.52,22,48,0,100,,8F964E17,South Africa,South Africa,Part-Time,DATA EXPIRED,English,South Africa,Female,Yes
62bbfb49aab8c7282050725d,6145b3d7c0b318ca434725c3,AWAITING REVIEW,2022-06-29 07:12:11.796000,2022-06-29 07:33:44.236000,1292.44,28,101,0,100,,8F964E17,South Africa,South Africa,Full-Time,DATA EXPIRED,"Afrikaans, English",South Africa,Female,No
62bbfb4a07d3805082066968,60ba101202b7fd117c0f3b94,AWAITING REVIEW,2022-06-29 07:12:10.201000,2022-06-29 07:44:48.256000,1958.055,28,153,1,100,,8F964E17,Czech Republic,Czech Republic,Full-Time,Czech,"Czech, English, German, Slovak",Czech Republic,Male,No
62bbfb4ce80eff42814d9127,5c6219e169375500012329d9,AWAITING REVIEW,2022-06-29 07:12:12.677000,2022-06-29 07:34:01.965000,1309.288,24,49,0,100,,8F964E17,Hungary,Hungary,"Not in paid work (e.g. homemaker', 'retired or disabled)",Hungarian,"Hungarian, English",Hungary,Male,No
62bbfb4f7d44554892e31cac,5d5ee4b5b3e1bf0001a46a7d,AWAITING REVIEW,2022-06-29 07:12:15.563000,2022-06-29 07:39:08.042000,1612.479,33,147,4,98,,8F964E17,Spain,Spain,Full-Time,Spanish,"Spanish, English",Spain,Female,No
62bbfb4fc24c819cf4766a04,6163264fa94cc08756567f81,AWAITING REVIEW,2022-06-29 07:12:21.223000,2022-06-29 07:41:12.902000,1731.679,31,132,4,98,,8F964E17,South Africa,South Africa,Full-Time,DATA EXPIRED,English,South Africa,Female,No
